constant_id,file_path,line_number,name,value,kind,category,reason,citation,verification_method,verification_outcome,verification_source,confidence,escalation_flag,notes
A4_0001,ear/h3/attention/kernel.py,90,torch.linspace.arg0,0.0,call-posarg0,D,"linspace start 0 for unit-interval positions [0,1] — identity placeholder",NONE,inspection,N/A,,HIGH,FALSE,IDENTITY-PLACEHOLDER
A4_0002,ear/h3/attention/kernel.py,90,torch.linspace.arg1,1.0,call-posarg1,D,"linspace end 1.0 for unit-interval positions [0,1] — identity placeholder",NONE,inspection,N/A,,HIGH,FALSE,IDENTITY-PLACEHOLDER
A4_0003,ear/h3/attention/kernel.py,95,<expr-L>,1.0,expr-literal,C,Inversion (1.0 - positions) in attention kernel exp(-K*(1-pos)) — mathematical identity reversing position direction so newest=high-weight,NONE,inspection,N/A,Standard exponential-decay reversal identity,HIGH,FALSE,LIT-VERBATIM: inversion identity [reclassified A→C: textbook/universal math identity has no single-paper attribution; per §6.10 algorithm implementation constants → STRUCTURAL]
A4_0004,ear/h3/bands/macro.py,31,HORIZON_RANGE,"[16, 24]",ann-assign,C,"Band horizon-index half-open range [16, 24] — structural assignment of 8 horizons per band",NONE,inspection,N/A,,HIGH,FALSE,STRUCTURAL: band horizon-slice
A4_0005,ear/h3/bands/macro.py,32,DURATION_RANGE_MS,"[1000.0, 25000.0]",ann-assign,B,"Band duration window [1000.0, 25000.0] ms — derived from HORIZON_MS endpoints of band slice",Hasson 2008; Lerner 2011,inspection,PARTIAL,Derived from B-tagged HORIZON_MS,MEDIUM,TRUE,B: inherits from HORIZON_MS
A4_0006,ear/h3/bands/macro.py,33,FRAME_RANGE,"[172, 4307]",ann-assign,B,"Band frame-count window [172, 4307] — derived from HORIZON_FRAMES band-slice min/max",Hasson 2008; Lerner 2011,inspection,PARTIAL,Derived from B-tagged HORIZON_FRAMES,MEDIUM,TRUE,B: inherits from HORIZON_FRAMES
A4_0007,ear/h3/bands/meso.py,30,HORIZON_RANGE,"[8, 16]",ann-assign,C,"Band horizon-index half-open range [8, 16] — structural assignment of 8 horizons per band",NONE,inspection,N/A,,HIGH,FALSE,STRUCTURAL: band horizon-slice
A4_0008,ear/h3/bands/meso.py,31,DURATION_RANGE_MS,"[300.0, 800.0]",ann-assign,B,"Band duration window [300.0, 800.0] ms — derived from HORIZON_MS endpoints of band slice",Hasson 2008; Lerner 2011,inspection,PARTIAL,Derived from B-tagged HORIZON_MS,MEDIUM,TRUE,B: inherits from HORIZON_MS
A4_0009,ear/h3/bands/meso.py,32,FRAME_RANGE,"[52, 138]",ann-assign,B,"Band frame-count window [52, 138] — derived from HORIZON_FRAMES band-slice min/max",Hasson 2008; Lerner 2011,inspection,PARTIAL,Derived from B-tagged HORIZON_FRAMES,MEDIUM,TRUE,B: inherits from HORIZON_FRAMES
A4_0010,ear/h3/bands/micro.py,29,HORIZON_RANGE,"[0, 8]",ann-assign,C,"Band horizon-index half-open range [0, 8] — structural assignment of 8 horizons per band",NONE,inspection,N/A,,HIGH,FALSE,STRUCTURAL: band horizon-slice
A4_0011,ear/h3/bands/micro.py,30,DURATION_RANGE_MS,"[5.8, 250.0]",ann-assign,B,"Band duration window [5.8, 250.0] ms — derived from HORIZON_MS endpoints of band slice",Hasson 2008; Lerner 2011,inspection,PARTIAL,Derived from B-tagged HORIZON_MS,MEDIUM,TRUE,B: inherits from HORIZON_MS
A4_0012,ear/h3/bands/micro.py,31,FRAME_RANGE,"[1, 43]",ann-assign,B,"Band frame-count window [1, 43] — derived from HORIZON_FRAMES band-slice min/max",Hasson 2008; Lerner 2011,inspection,PARTIAL,Derived from B-tagged HORIZON_FRAMES,MEDIUM,TRUE,B: inherits from HORIZON_FRAMES
A4_0013,ear/h3/bands/ultra.py,35,HORIZON_RANGE,"[24, 32]",ann-assign,C,"Band horizon-index half-open range [24, 32] — structural assignment of 8 horizons per band",NONE,inspection,N/A,,HIGH,FALSE,STRUCTURAL: band horizon-slice
A4_0014,ear/h3/bands/ultra.py,36,DURATION_RANGE_MS,"[36000.0, 981000.0]",ann-assign,B,"Band duration window [36000.0, 981000.0] ms — derived from HORIZON_MS endpoints of band slice",Hasson 2008; Lerner 2011,inspection,PARTIAL,Derived from B-tagged HORIZON_MS,MEDIUM,TRUE,B: inherits from HORIZON_MS
A4_0015,ear/h3/bands/ultra.py,37,FRAME_RANGE,"[6202, 168999]",ann-assign,B,"Band frame-count window [6202, 168999] — derived from HORIZON_FRAMES band-slice min/max",Hasson 2008; Lerner 2011,inspection,PARTIAL,Derived from B-tagged HORIZON_FRAMES,MEDIUM,TRUE,B: inherits from HORIZON_FRAMES
A4_0016,ear/h3/constants/horizons.py,18,FRAME_RATE,172.27,ann-assign,C,Audio frame rate 172.27 Hz = 44100/256 — derived from sample-rate / hop-length,NONE,inspection,N/A,,HIGH,FALSE,"STRUCTURAL: derived from sr=44100, hop_length=256"
