constant_id,file_path,line_number,name,value,kind,category,reason,citation,verification_method,verification_outcome,verification_source,confidence,escalation_flag,notes
A6_00001,brain/functions/f7/beliefs/hgsic/auditory_motor_coupling.py,19,_COUPLING_STRENGTH,4,module-assign,C,STRUCTURAL -- _COUPLING_STRENGTH mechanism output-tensor slot index.,NONE,inspection,N/A,,HIGH,False,Output slot index
A6_00002,brain/functions/f7/beliefs/hgsic/beat_prominence.py,19,_F01_BEAT_GAMMA,0,module-assign,C,STRUCTURAL -- _F01_BEAT_GAMMA mechanism output-tensor slot index.,NONE,inspection,N/A,,HIGH,False,Output slot index
A6_00003,brain/functions/f7/beliefs/hgsic/beat_prominence.py,20,_PSTG_ACTIVATION,5,module-assign,C,STRUCTURAL -- _PSTG_ACTIVATION mechanism output-tensor slot index.,NONE,inspection,N/A,,HIGH,False,Output slot index
A6_00004,brain/functions/f7/beliefs/hgsic/beat_prominence.py,53,<expr-L>,0.5,expr-literal,E,"E4 mixer weight -- 0.5 expression-literal coefficient in mechanism/belief formula. Author-chosen weighting; not in 7-element F-list (context_brief §3, §8). Co-located literature citations describe phenomena qualitatively; specific mixer weights are author operationalization, not bit-exact literature values.",NONE,inspection,N/A,No literature publishes specific mixer weights; co-location != derivation,HIGH,False,Mixer weight in formula
A6_00005,brain/functions/f7/beliefs/hgsic/beat_prominence.py,54,<expr-L>,0.5,expr-literal,E,"E4 mixer weight -- 0.5 expression-literal coefficient in mechanism/belief formula. Author-chosen weighting; not in 7-element F-list (context_brief §3, §8). Co-located literature citations describe phenomena qualitatively; specific mixer weights are author operationalization, not bit-exact literature values.",NONE,inspection,N/A,No literature publishes specific mixer weights; co-location != derivation,HIGH,False,Mixer weight in formula
A6_00006,brain/functions/f7/beliefs/hgsic/groove_quality.py,23,_F03_MOTOR_GROOVE,2,module-assign,C,STRUCTURAL -- _F03_MOTOR_GROOVE mechanism output-tensor slot index.,NONE,inspection,N/A,,HIGH,False,Output slot index
A6_00007,brain/functions/f7/beliefs/hgsic/groove_quality.py,24,_GROOVE_INDEX,3,module-assign,C,STRUCTURAL -- _GROOVE_INDEX mechanism output-tensor slot index.,NONE,inspection,N/A,,HIGH,False,Output slot index
A6_00008,brain/functions/f7/beliefs/hgsic/groove_quality.py,25,_COUPLING_STRENGTH,4,module-assign,C,STRUCTURAL -- _COUPLING_STRENGTH mechanism output-tensor slot index.,NONE,inspection,N/A,,HIGH,False,Output slot index
A6_00009,brain/functions/f7/beliefs/hgsic/groove_quality.py,28,_AMPLITUDE_SMOOTHNESS,"[7, 16, 15, 0]",module-assign,C,"STRUCTURAL -- H3 tuple address (r3_idx, horizon, morph, law) into pre-defined topology; alias for module-level H3DemandSpec key.",NONE,inspection,N/A,,HIGH,False,H3 address tuple alias
A6_00010,brain/functions/f7/beliefs/hgsic/groove_quality.py,29,_ENERGY_PERIODICITY,"[22, 11, 14, 2]",module-assign,C,"STRUCTURAL -- H3 tuple address (r3_idx, horizon, morph, law) into pre-defined topology; alias for module-level H3DemandSpec key.",NONE,inspection,N/A,,HIGH,False,H3 address tuple alias
A6_00011,brain/functions/f7/beliefs/hgsic/groove_quality.py,32,_W_TREND,0.05,module-assign,E,"E4 mixer weight -- _W_TREND predict-equation coefficient (b = base + W_TREND*trend + W_PERIOD*period + W_CTX*ctx). Author-chosen, NOT in F-list of 7 disclosed reward weights (per context_brief §3, §8).",NONE,inspection,N/A,,HIGH,False,Predict-equation mixer weight
A6_00012,brain/functions/f7/beliefs/hgsic/groove_quality.py,33,_W_PERIOD,0.03,module-assign,E,"E4 mixer weight -- _W_PERIOD predict-equation coefficient (b = base + W_TREND*trend + W_PERIOD*period + W_CTX*ctx). Author-chosen, NOT in F-list of 7 disclosed reward weights (per context_brief §3, §8).",NONE,inspection,N/A,,HIGH,False,Predict-equation mixer weight
A6_00013,brain/functions/f7/beliefs/hgsic/groove_quality.py,34,_W_CTX,0.02,module-assign,E,"E4 mixer weight -- _W_CTX predict-equation coefficient (b = base + W_TREND*trend + W_PERIOD*period + W_CTX*ctx). Author-chosen, NOT in F-list of 7 disclosed reward weights (per context_brief §3, §8).",NONE,inspection,N/A,,HIGH,False,Predict-equation mixer weight
A6_00014,brain/functions/f7/beliefs/hgsic/groove_quality.py,52,TAU,0.55,class-attr,E,"E5 operational scaling -- belief inertia coefficient (base = (1-TAU)*prev + TAU*BASELINE). Author-chosen forgetting-factor per belief class, not fit; no literature anchor.",NONE,inspection,N/A,,HIGH,False,Belief TAU inertia
A6_00015,brain/functions/f7/beliefs/hgsic/groove_quality.py,53,BASELINE,0.5,class-attr,D,"IDENTITY-PLACEHOLDER -- 0.5 unit-interval midpoint as belief baseline prior (max entropy on [0,1]).",NONE,inspection,N/A,,HIGH,False,Unit-interval midpoint baseline
A6_00016,brain/functions/f7/beliefs/hgsic/groove_quality.py,73,<expr-L>,0.2,expr-literal,E,"E4 mixer weight -- 0.2 expression-literal coefficient in mechanism/belief formula. Author-chosen weighting; not in 7-element F-list (context_brief §3, §8). Co-located literature citations describe phenomena qualitatively; specific mixer weights are author operationalization, not bit-exact literature values.",NONE,inspection,N/A,No literature publishes specific mixer weights; co-location != derivation,HIGH,False,Mixer weight in formula
A6_00017,brain/functions/f7/beliefs/hgsic/groove_quality.py,71,<expr-L>,0.5,expr-literal,E,"E4 mixer weight -- 0.5 expression-literal coefficient in mechanism/belief formula. Author-chosen weighting; not in 7-element F-list (context_brief §3, §8). Co-located literature citations describe phenomena qualitatively; specific mixer weights are author operationalization, not bit-exact literature values.",NONE,inspection,N/A,No literature publishes specific mixer weights; co-location != derivation,HIGH,False,Mixer weight in formula
A6_00018,brain/functions/f7/beliefs/hgsic/groove_quality.py,72,<expr-L>,0.3,expr-literal,E,"E4 mixer weight -- 0.3 expression-literal coefficient in mechanism/belief formula. Author-chosen weighting; not in 7-element F-list (context_brief §3, §8). Co-located literature citations describe phenomena qualitatively; specific mixer weights are author operationalization, not bit-exact literature values.",NONE,inspection,N/A,No literature publishes specific mixer weights; co-location != derivation,HIGH,False,Mixer weight in formula
A6_00019,brain/functions/f7/beliefs/hgsic/groove_quality.py,104,<expr-R>,0.5,expr-literal,E,"E4 mixer weight -- 0.5 expression-literal coefficient in mechanism/belief formula. Author-chosen weighting; not in 7-element F-list (context_brief §3, §8). Co-located literature citations describe phenomena qualitatively; specific mixer weights are author operationalization, not bit-exact literature values.",NONE,inspection,N/A,No literature publishes specific mixer weights; co-location != derivation,HIGH,False,Mixer weight in formula
A6_00020,brain/functions/f7/beliefs/hgsic/groove_quality.py,97,<expr-L>,0.1,expr-literal,E,E4 mixer weight -- 0.1 belief anchoring weight in base = (1-0.1)*prev + 0.1*BASELINE (author choice).,NONE,inspection,N/A,,HIGH,False,Belief base anchoring
A6_00021,brain/functions/f7/beliefs/hgsic/groove_quality.py,97,<expr-L>,1.0,expr-literal,D,IDENTITY-PLACEHOLDER -- 1.0 in (1.0 - x) inversion (mathematical identity element).,NONE,inspection,N/A,,HIGH,False,Unit inversion identity
A6_00022,brain/functions/f7/beliefs/hgsic/groove_quality.py,97,<expr-R>,0.1,expr-literal,E,E4 mixer weight -- 0.1 belief anchoring weight in base = (1-0.1)*prev + 0.1*BASELINE (author choice).,NONE,inspection,N/A,,HIGH,False,Belief base anchoring
A6_00023,brain/functions/f7/beliefs/hgsic/groove_trajectory.py,19,_GROOVE_PREDICTION,8,module-assign,C,STRUCTURAL -- _GROOVE_PREDICTION mechanism output-tensor slot index.,NONE,inspection,N/A,,HIGH,False,Output slot index
