constant_id,file_path,line_number,name,value,kind,category,reason,citation,verification_method,verification_outcome,verification_source,confidence,escalation_flag,notes
A7_REGIONS_INIT_001,brain/regions/__init__.py,16,_warnings.warn.stacklevel,2,call-kw,E,"Python warnings.warn stacklevel kwarg — frames-up convention for caller attribution; engineering choice unrelated to any literature",NONE,N/A,N/A,"Python stdlib idiom, not literature-derived",HIGH,FALSE,"E1/E5 numerical-convention. Package is deprecated per docstring — but this stacklevel itself is engine-runtime live (warning fires on import). Not DEAD-CODE."
A7_A1HG_INDEX_002,brain/regions/a1_hg.py,15,Region.index,0,call-kw,C,"Topology index (0-25) in canonical RAM tensor position. STRUCTURAL — fixed slot assignment, not empirical. Matches executor.py:39 hardcoded _REGION_NAMES order.",NONE,N/A,N/A,"Topology choice; canonical region order documented in registry.py",HIGH,FALSE,"Cortical block (indices 0-11)"
A7_A1HG_MNI_003,brain/regions/a1_hg.py,19,Region.mni_coords,"(48, -18, 8)",call-kw,C,"MNI152 centroid for Heschl's gyrus / A1. Anatomical-reference coord stitched from author aggregation over multiple atlases (Harvard-Oxford/AAL/Brainnetome per context_brief §1) and functional fMRI peaks (Zatorre 2002, Patterson 2002 cited in module docstring). Bit-exact atlas verification NEGATIVE in 1 search attempt — no single primary publishes (48,-18,8) verbatim. Conservative attribution: STRUCTURAL anatomical-reference, NOT LIT-VERBATIM.",NONE,websearch-google,NEGATIVE,"WebSearch ""Heschl gyrus MNI 48 -18 8 BA41"" returned discussion of HG anatomy but no bit-exact source; coordinates plausible within HG range per multiple atlases but not single-source verbatim",HIGH,FALSE,"Author-aggregated representative centroid. Module cites Zatorre 2002 / Patterson 2002 — functional, not atlas-centroid. Engine consumes via executor.py hardcoded copy."
A7_A1HG_BA_004,brain/regions/a1_hg.py,20,Region.brodmann_area,41,call-kw,C,"Brodmann area 41 = primary auditory cortex (Heschl's gyrus). Textbook anatomical label from Brodmann 1909 cytoarchitectonic atlas — common-knowledge anatomy. STRUCTURAL anatomical-reference.",Brodmann 1909,websearch-google,POSITIVE,"Brodmann areas 41/42 = primary auditory cortex on Heschl's gyrus — Wikipedia + ScienceDirect overview; consensus textbook anatomy",HIGH,FALSE,"Anatomical metadata, not an empirical value to fit"
A7_ACC_INDEX_005,brain/regions/acc.py,15,Region.index,7,call-kw,C,"Topology index in RAM tensor (cortical block). Matches executor.py canonical order.",NONE,N/A,N/A,"Topology slot 7 in cortical block (0-11)",HIGH,FALSE,""
A7_ACC_MNI_006,brain/regions/acc.py,19,Region.mni_coords,"(2, 30, 28)",call-kw,C,"MNI centroid for Anterior Cingulate Cortex. Author-aggregated atlas representative; cites Koelsch 2014 / Menon 2015 (functional) in module docstring. No single primary publishes (2,30,28) verbatim. Conservative: STRUCTURAL anatomical-reference.",NONE,N/A,N/A,"Within ACC range but no bit-exact verbatim source identified",MEDIUM,FALSE,""
A7_ACC_BA_007,brain/regions/acc.py,20,Region.brodmann_area,32,call-kw,C,"Brodmann area 32 = anterior cingulate cortex (dorsal ACC). Textbook anatomy from Brodmann 1909.",Brodmann 1909,N/A,POSITIVE,"BA32 = dorsal ACC — standard anatomical mapping",HIGH,FALSE,"Anatomical label"
A7_AG_INDEX_008,brain/regions/ag.py,15,Region.index,10,call-kw,C,"Topology index in RAM tensor (cortical block).",NONE,N/A,N/A,"Topology slot 10",HIGH,FALSE,""
A7_AG_MNI_009,brain/regions/ag.py,19,Region.mni_coords,"(48, -60, 30)",call-kw,C,"MNI centroid for Angular Gyrus. Cites Seghier 2013 / Koelsch 2014. Plausible AG location but not bit-exact to single source. STRUCTURAL anatomical-reference.",NONE,N/A,N/A,"Author-aggregated atlas centroid",MEDIUM,FALSE,""
A7_AG_BA_010,brain/regions/ag.py,20,Region.brodmann_area,39,call-kw,C,"Brodmann area 39 = angular gyrus. Textbook anatomy from Brodmann 1909.",Brodmann 1909,N/A,POSITIVE,"BA39 = angular gyrus — standard anatomical mapping",HIGH,FALSE,"Anatomical label"
A7_AMYG_INDEX_011,brain/regions/amygdala.py,15,Region.index,15,call-kw,C,"Topology index in RAM tensor (subcortical block, starts at 12).",NONE,N/A,N/A,"Topology slot 15 in subcortical block (12-20)",HIGH,FALSE,""
A7_AMYG_MNI_012,brain/regions/amygdala.py,19,Region.mni_coords,"(24, -4, -18)",call-kw,C,"MNI centroid for right Amygdala. Cites Koelsch 2014 / Trost 2012. Plausible amygdala location, not bit-exact to single primary. STRUCTURAL.",NONE,N/A,N/A,"Within amygdala range per Harvard-Oxford subcortical atlas; not bit-exact",MEDIUM,FALSE,""
A7_AN_INDEX_013,brain/regions/an.py,15,Region.index,22,call-kw,C,"Topology index in RAM tensor (brainstem block, starts at 21).",NONE,N/A,N/A,"Topology slot 22 in brainstem block (21-25)",HIGH,FALSE,""
