constant_id,file_path,line_number,name,value,kind,category,reason,citation,verification_method,verification_outcome,verification_source,confidence,escalation_flag,notes
AGT5_00000,brain/functions/f6/beliefs/daed/da_caudate.py,20,_CAUDATE_ACTIVATION,6,module-assign,C,Index/dim constant _CAUDATE_ACTIVATION=6 — structural reference (R3/output dim/index),,n/a,N/A,,HIGH,FALSE,Structural index (typically R3 channel or output dim index)
AGT5_00001,brain/functions/f6/beliefs/daed/da_nacc.py,20,_NACC_ACTIVATION,7,module-assign,C,Index/dim constant _NACC_ACTIVATION=7 — structural reference (R3/output dim/index),,n/a,N/A,,HIGH,FALSE,Structural index (typically R3 channel or output dim index)
AGT5_00002,brain/functions/f6/beliefs/daed/dissociation_index.py,20,_DISSOCIATION_INDEX,4,module-assign,C,Index/dim constant _DISSOCIATION_INDEX=4 — structural reference (R3/output dim/index),,n/a,N/A,,HIGH,FALSE,Structural index (typically R3 channel or output dim index)
AGT5_00003,brain/functions/f6/beliefs/daed/temporal_phase.py,20,_TEMPORAL_PHASE,5,module-assign,C,Index/dim constant _TEMPORAL_PHASE=5 — structural reference (R3/output dim/index),,n/a,N/A,,HIGH,FALSE,Structural index (typically R3 channel or output dim index)
AGT5_00004,brain/functions/f6/beliefs/daed/wanting_ramp.py,20,_F03_WANTING_INDEX,2,module-assign,C,Index/dim constant _F03_WANTING_INDEX=2 — structural reference (R3/output dim/index),,n/a,N/A,,HIGH,FALSE,Structural index (typically R3 channel or output dim index)
AGT5_00005,brain/functions/f6/beliefs/srp/chills_proximity.py,19,_F1_CHILLS_PROXIMITY,17,module-assign,C,Index/dim constant _F1_CHILLS_PROXIMITY=17 — structural reference (R3/output dim/index),,n/a,N/A,,HIGH,FALSE,Structural index (typically R3 channel or output dim index)
AGT5_00006,brain/functions/f6/beliefs/srp/harmonic_tension.py,19,_M0_HARMONIC_TENSION,10,module-assign,C,Index/dim constant _M0_HARMONIC_TENSION=10 — structural reference (R3/output dim/index),,n/a,N/A,,HIGH,FALSE,Structural index (typically R3 channel or output dim index)
AGT5_00007,brain/functions/f6/beliefs/srp/liking.py,23,_P1_LIKING,14,module-assign,C,Index/dim constant _P1_LIKING=14 — structural reference (R3/output dim/index),,n/a,N/A,,HIGH,FALSE,Structural index (typically R3 channel or output dim index)
AGT5_00008,brain/functions/f6/beliefs/srp/liking.py,26,_GENERIC_TREND,"[7, 8, 18, 0]",module-assign,C,"H3 tuple address _GENERIC_TREND=[7, 8, 18, 0] — (r3_idx, horizon, morph, law) structural feature address",,n/a,N/A,,HIGH,FALSE,Structural H3 demand tuple (4-element addressing scheme)
AGT5_00009,brain/functions/f6/beliefs/srp/liking.py,29,_W_TREND,0.05,module-assign,E,"Belief predict-equation mixer weight _W_TREND=0.05 — engine-authored, not in F-closed-list",,n/a,NEGATIVE,Predict-equation mixer (τ·prev + w_trend·trend + w_ctx·context) — engineering choice,HIGH,FALSE,"E4 mixer per context_brief §3 (predict-equation coefficients are E4, NOT F)"
AGT5_00010,brain/functions/f6/beliefs/srp/liking.py,30,_W_CTX,0.02,module-assign,E,"Belief predict-equation mixer weight _W_CTX=0.02 — engine-authored, not in F-closed-list",,n/a,NEGATIVE,Predict-equation mixer (τ·prev + w_trend·trend + w_ctx·context) — engineering choice,HIGH,FALSE,"E4 mixer per context_brief §3 (predict-equation coefficients are E4, NOT F)"
