constant_id,file_path,line_number,name,value,kind,category,reason,citation,verification_method,verification_outcome,verification_source,confidence,escalation_flag,notes
A3_00001,brain/functions/f4/beliefs/hcmc/consolidation_strength.py,17,_P2_STORAGE_STATE,8,module-assign,C,Module index/feature constant _P2_STORAGE_STATE=8 for BELIEF — structural R³/H³/output-dim selector (R³ post-freeze 97D ontology or layer output position),NONE,inspection,N/A,Index per §2 Category C STRUCTURAL,HIGH,FALSE,STRUCTURAL: module-level index assignment (refined)
A3_00002,brain/functions/f4/beliefs/hcmc/episodic_boundary.py,17,_P1_SEGMENTATION_STATE,7,module-assign,C,Module index/feature constant _P1_SEGMENTATION_STATE=7 for HCMC — structural R³/H³/output-dim selector,NONE,inspection,N/A,Index per §2 Category C,HIGH,FALSE,STRUCTURAL: module-level index assignment
A3_00003,brain/functions/f4/beliefs/hcmc/episodic_encoding.py,20,_E0_FAST_BINDING,0,module-assign,C,Module index/dim _E0_FAST_BINDING=0 for HCMC — structural axis/index/dimension constant,NONE,inspection,N/A,Index/dim per §2 Category C,HIGH,FALSE,STRUCTURAL: module-level index
A3_00004,brain/functions/f4/beliefs/hcmc/episodic_encoding.py,21,_P0_BINDING_STATE,6,module-assign,C,Module index/feature constant _P0_BINDING_STATE=6 for HCMC — structural R³/H³/output-dim selector,NONE,inspection,N/A,Index per §2 Category C,HIGH,FALSE,STRUCTURAL: module-level index assignment
A3_00005,brain/functions/f4/beliefs/hcmc/episodic_encoding.py,22,_P1_SEGMENTATION_STATE,7,module-assign,C,Module index/feature constant _P1_SEGMENTATION_STATE=7 for HCMC — structural R³/H³/output-dim selector,NONE,inspection,N/A,Index per §2 Category C,HIGH,FALSE,STRUCTURAL: module-level index assignment
A3_00006,brain/functions/f4/beliefs/hcmc/episodic_encoding.py,25,_FUSION_TREND,"[3, 20, 18, 0]",module-assign,C,"Module index/feature constant _FUSION_TREND=[3, 20, 18, 0] for HCMC — structural R³/H³/output-dim selector",NONE,inspection,N/A,Index per §2 Category C,HIGH,FALSE,STRUCTURAL: module-level index assignment
A3_00007,brain/functions/f4/beliefs/hcmc/episodic_encoding.py,26,_FLUX_PERIOD,"[21, 16, 14, 2]",module-assign,C,"Module index/feature constant _FLUX_PERIOD=[21, 16, 14, 2] for HCMC — structural R³/H³/output-dim selector",NONE,inspection,N/A,Index per §2 Category C,HIGH,FALSE,STRUCTURAL: module-level index assignment
A3_00008,brain/functions/f4/beliefs/hcmc/episodic_encoding.py,29,_W_TREND,0.04,module-assign,C,Module index/feature constant _W_TREND=0.04 for HCMC — structural R³/H³/output-dim selector,NONE,inspection,N/A,Index per §2 Category C,HIGH,FALSE,STRUCTURAL: module-level index assignment
A3_00009,brain/functions/f4/beliefs/hcmc/episodic_encoding.py,30,_W_PERIOD,0.04,module-assign,E,Mixer/predict coefficient _W_PERIOD=0.04 in HCMC — engine-chosen weighting parameter (E4 mixer per context_brief §3: τ/w_trend/w_period/w_ctx are ENGINEERING),,inspection,N/A,Predict-eq/mixer coefficient per §3 doctrine + §8,HIGH,FALSE,E4 mixer: predict/blend coefficient
A3_00010,brain/functions/f4/beliefs/hcmc/episodic_encoding.py,31,_W_CTX,0.03,module-assign,E,Mixer/predict coefficient _W_CTX=0.03 in HCMC — engine-chosen weighting parameter (E4 mixer per context_brief §3: τ/w_trend/w_period/w_ctx are ENGINEERING),ding,inspection,N/A,Predict-eq/mixer coefficient per §3 doctrine + §8,HIGH,FALSE,E4 mixer: predict/blend coefficient
A3_00011,brain/functions/f4/beliefs/hcmc/episodic_encoding.py,49,TAU,0.7,class-attr,E,"HCMC.TAU=0.7 — Bayesian belief temporal persistence coefficient (predict-equation `τ·μ_{t-1}`); engine-chosen mixer per §3 doctrine ""predict-equation coefficients τ are ENGINEERING-CHOICE (E4), NOT F""",NONE,inspection,N/A,Predict-eq coefficient τ; ENGINEERING per context_brief §3 + §8,HIGH,FALSE,E4 mixer: belief τ predict coefficient
A3_00012,brain/functions/f4/beliefs/hcmc/episodic_encoding.py,50,BASELINE,0.4,class-attr,E,HCMC/episodic_encoding BASELINE=0.4 — engine-chosen asymmetric baseline prior (E4 mixer); departure from 0.5 reflects author judgment about expected baseline rate (e.g. nostalgia rare → low baseline),NONE,inspection,N/A,Baseline=0.5 per context_brief §8 IDENTITY-PLACEHOLDER list,HIGH,FALSE,E4 mixer: asymmetric belief baseline (0.4 != 0.5)
A3_00013,brain/functions/f4/beliefs/hcmc/episodic_encoding.py,70,<expr-L>,0.3,expr-literal,E,"Belief mixer coefficient 0.3 in HCMC def observe — author-chosen blend weight (E4) per context_brief §3 doctrine: predict-equation coefficients are ENGINEERING, NOT F or LIT",ding,inspection,N/A,Belief mixer per §3 doctrine + §8,HIGH,FALSE,E4 mixer: belief observe/predict blend weight
A3_00014,brain/functions/f4/beliefs/hcmc/episodic_encoding.py,68,<expr-L>,0.4,expr-literal,E,"Belief mixer coefficient 0.4 in HCMC def observe — author-chosen blend weight (E4) per context_brief §3 doctrine: predict-equation coefficients are ENGINEERING, NOT F or LIT",ding,inspection,N/A,Belief mixer per §3 doctrine + §8,HIGH,FALSE,E4 mixer: belief observe/predict blend weight
A3_00015,brain/functions/f4/beliefs/hcmc/episodic_encoding.py,69,<expr-L>,0.3,expr-literal,E,"Belief mixer coefficient 0.3 in HCMC def observe — author-chosen blend weight (E4) per context_brief §3 doctrine: predict-equation coefficients are ENGINEERING, NOT F or LIT",ding,inspection,N/A,Belief mixer per §3 doctrine + §8,HIGH,FALSE,E4 mixer: belief observe/predict blend weight
A3_00016,brain/functions/f4/beliefs/hcmc/episodic_encoding.py,93,<expr-L>,0.1,expr-literal,E,"Belief mixer coefficient 0.1 in HCMC def predict — author-chosen blend weight (E4) per context_brief §3 doctrine: predict-equation coefficients are ENGINEERING, NOT F or LIT",Ding 2016; Tillmann 2014 (mech docstring),inspection,N/A,Belief mixer per §3 doctrine + §8,HIGH,FALSE,E4 mixer: belief observe/predict blend weight
A3_00017,brain/functions/f4/beliefs/hcmc/episodic_encoding.py,93,<expr-L>,1.0,expr-literal,D,Identity expression literal 1.0 in HCMC compute path — trivial bound/init/unit,NONE,inspection,N/A,Identity per §2 Category D,HIGH,FALSE,IDENTITY-PLACEHOLDER: expr literal 1.0
A3_00018,brain/functions/f4/beliefs/hcmc/episodic_encoding.py,93,<expr-R>,0.1,expr-literal,E,"Belief mixer coefficient 0.1 in HCMC def predict — author-chosen blend weight (E4) per context_brief §3 doctrine: predict-equation coefficients are ENGINEERING, NOT F or LIT",Ding 2016; Tillmann 2014 (mech docstring),inspection,N/A,Belief mixer per §3 doctrine + §8,HIGH,FALSE,E4 mixer: belief observe/predict blend weight
A3_00019,brain/functions/f4/beliefs/meamn/autobiographical_retrieval.py,21,_E0_F01_RETRIEVAL,0,module-assign,D,"Identity/sentinel _E0_F01_RETRIEVAL=0 in MEAMN — trivial neutral value, no operational role",NONE,inspection,N/A,Identity per §2 Category D,HIGH,FALSE,IDENTITY-PLACEHOLDER: trivial neutral assign
A3_00020,brain/functions/f4/beliefs/meamn/autobiographical_retrieval.py,22,_P0_MEMORY_STATE,5,module-assign,C,Module index/feature constant _P0_MEMORY_STATE=5 for BELIEF — structural R³/H³/output-dim selector (R³ post-freeze 97D ontology or layer output position),NONE,inspection,N/A,Index per §2 Category C STRUCTURAL,HIGH,FALSE,STRUCTURAL: module-level index assignment (refined)
A3_00021,brain/functions/f4/beliefs/meamn/autobiographical_retrieval.py,23,_P1_EMOTIONAL_COLOR,6,module-assign,C,Module index/feature constant _P1_EMOTIONAL_COLOR=6 for BELIEF — structural R³/H³/output-dim selector (R³ post-freeze 97D ontology or layer output position),NONE,inspection,N/A,Index per §2 Category C STRUCTURAL,HIGH,FALSE,STRUCTURAL: module-level index assignment (refined)
A3_00022,brain/functions/f4/beliefs/meamn/autobiographical_retrieval.py,26,_WARMTH_TREND,"[12, 20, 18, 0]",module-assign,C,"Module index/feature constant _WARMTH_TREND=[12, 20, 18, 0] for MEAMN — structural R³/H³/output-dim selector",NONE,inspection,N/A,Index per §2 Category C,HIGH,FALSE,STRUCTURAL: module-level index assignment
A3_00023,brain/functions/f4/beliefs/meamn/autobiographical_retrieval.py,27,_TONALNESS_PERIOD,"[14, 16, 14, 2]",module-assign,C,"Module index/feature constant _TONALNESS_PERIOD=[14, 16, 14, 2] for MEAMN — structural R³/H³/output-dim selector",NONE,inspection,N/A,Index per §2 Category C,HIGH,FALSE,STRUCTURAL: module-level index assignment
A3_00024,brain/functions/f4/beliefs/meamn/autobiographical_retrieval.py,30,_W_TREND,0.03,module-assign,C,Module index/feature constant _W_TREND=0.03 for MEAMN — structural R³/H³/output-dim selector,NONE,inspection,N/A,Index per §2 Category C,HIGH,FALSE,STRUCTURAL: module-level index assignment
A3_00025,brain/functions/f4/beliefs/meamn/autobiographical_retrieval.py,31,_W_PERIOD,0.04,module-assign,E,Mixer/predict coefficient _W_PERIOD=0.04 in MEAMN — engine-chosen weighting parameter (E4 mixer per context_brief §3: τ/w_trend/w_period/w_ctx are ENGINEERING),,inspection,N/A,Predict-eq/mixer coefficient per §3 doctrine + §8,HIGH,FALSE,E4 mixer: predict/blend coefficient
A3_00026,brain/functions/f4/beliefs/meamn/autobiographical_retrieval.py,32,_W_CTX,0.03,module-assign,E,Mixer/predict coefficient _W_CTX=0.03 in MEAMN — engine-chosen weighting parameter (E4 mixer per context_brief §3: τ/w_trend/w_period/w_ctx are ENGINEERING),,inspection,N/A,Predict-eq/mixer coefficient per §3 doctrine + §8,HIGH,FALSE,E4 mixer: predict/blend coefficient
A3_00027,brain/functions/f4/beliefs/meamn/autobiographical_retrieval.py,51,TAU,0.85,class-attr,E,"MEAMN.TAU=0.85 — Bayesian belief temporal persistence coefficient (predict-equation `τ·μ_{t-1}`); engine-chosen mixer per §3 doctrine ""predict-equation coefficients τ are ENGINEERING-CHOICE (E4), NOT F""",NONE,inspection,N/A,Predict-eq coefficient τ; ENGINEERING per context_brief §3 + §8,HIGH,FALSE,E4 mixer: belief τ predict coefficient
A3_00028,brain/functions/f4/beliefs/meamn/autobiographical_retrieval.py,52,BASELINE,0.3,class-attr,E,MEAMN/autobiographical_retrieval BASELINE=0.3 — engine-chosen asymmetric baseline prior (E4 mixer); departure from 0.5 reflects author judgment about expected baseline rate (e.g. nostalgia rare → low baseline),NONE,inspection,N/A,Baseline=0.5 per context_brief §8 IDENTITY-PLACEHOLDER list,HIGH,FALSE,E4 mixer: asymmetric belief baseline (0.3 != 0.5)
A3_00029,brain/functions/f4/beliefs/meamn/autobiographical_retrieval.py,72,<expr-L>,0.3,expr-literal,E,"Belief mixer coefficient 0.3 in MEAMN def observe — author-chosen blend weight (E4) per context_brief §3 doctrine: predict-equation coefficients are ENGINEERING, NOT F or LIT",Janata 2009; Belfi 2016 (mech docstring),inspection,N/A,Belief mixer per §3 doctrine + §8,HIGH,FALSE,E4 mixer: belief observe/predict blend weight
A3_00030,brain/functions/f4/beliefs/meamn/autobiographical_retrieval.py,70,<expr-L>,0.4,expr-literal,E,"Belief mixer coefficient 0.4 in MEAMN def observe — author-chosen blend weight (E4) per context_brief §3 doctrine: predict-equation coefficients are ENGINEERING, NOT F or LIT",Janata 2009; Belfi 2016 (mech docstring),inspection,N/A,Belief mixer per §3 doctrine + §8,HIGH,FALSE,E4 mixer: belief observe/predict blend weight
A3_00031,brain/functions/f4/beliefs/meamn/autobiographical_retrieval.py,71,<expr-L>,0.3,expr-literal,E,"Belief mixer coefficient 0.3 in MEAMN def observe — author-chosen blend weight (E4) per context_brief §3 doctrine: predict-equation coefficients are ENGINEERING, NOT F or LIT",Janata 2009; Belfi 2016 (mech docstring),inspection,N/A,Belief mixer per §3 doctrine + §8,HIGH,FALSE,E4 mixer: belief observe/predict blend weight
A3_00032,brain/functions/f4/beliefs/meamn/autobiographical_retrieval.py,95,<expr-L>,0.1,expr-literal,E,"Belief mixer coefficient 0.1 in MEAMN def predict — author-chosen blend weight (E4) per context_brief §3 doctrine: predict-equation coefficients are ENGINEERING, NOT F or LIT",Janata 2009; Belfi 2016 (mech docstring),inspection,N/A,Belief mixer per §3 doctrine + §8,HIGH,FALSE,E4 mixer: belief observe/predict blend weight
A3_00033,brain/functions/f4/beliefs/meamn/autobiographical_retrieval.py,95,<expr-L>,1.0,expr-literal,D,Identity expression literal 1.0 in MEAMN compute path — trivial bound/init/unit,NONE,inspection,N/A,Identity per §2 Category D,HIGH,FALSE,IDENTITY-PLACEHOLDER: expr literal 1.0
