constant_id,file_path,line_number,name,value,kind,category,reason,citation,verification_method,verification_outcome,verification_source,confidence,escalation_flag,notes
A8_BELIEFS_001,brain/beliefs.py,54,normalize_mechanism_outputs.pct_lo,2.0,kw-default,E,"Robust percentile lower bound for per-mechanism dynamic range stretch (engineering-chosen smoothing percentile, not literature-derived)",NONE,websearch-google,N/A,"No literature published a 2nd-percentile robust normalization parameter for cognitive belief decoding",HIGH,FALSE,"E3 threshold; standard signal-processing choice"
A8_BELIEFS_002,brain/beliefs.py,55,normalize_mechanism_outputs.pct_hi,98.0,kw-default,E,"Robust percentile upper bound for per-mechanism dynamic range stretch (engineering-chosen pair with pct_lo=2.0)",NONE,websearch-google,N/A,"Author-chosen [2,98] percentile pair for robust scaling; no published anchor",HIGH,FALSE,"E3 threshold; symmetric complement to pct_lo"
A8_BELIEFS_003,brain/beliefs.py,56,normalize_mechanism_outputs.min_range,0.01,kw-default,E,"Minimum dynamic range floor below which a dim is left un-normalized (numerical guard)",NONE,N/A,N/A,"Engineering safeguard; no literature anchor",HIGH,FALSE,"E1 numerical stability guard"
A8_BELIEFS_004,brain/beliefs.py,73,np.clip.arg1,0.0,call-posarg1,D,"Lower clip bound on normalized output (identity boundary of unit interval)",NONE,N/A,N/A,"Trivial identity boundary [0,1] of normalization",HIGH,FALSE,"IDENTITY-PLACEHOLDER, unit interval lower bound"
A8_BELIEFS_005,brain/beliefs.py,73,np.clip.arg2,1.0,call-posarg2,D,"Upper clip bound on normalized output (identity boundary of unit interval)",NONE,N/A,N/A,"Trivial identity boundary [0,1] of normalization",HIGH,FALSE,"IDENTITY-PLACEHOLDER, unit interval upper bound"
A8_BELIEFS_006,brain/beliefs.py,101,T,0,module-assign,D,"Sentinel initial value for time-length scalar before reading from relay tensor shape",NONE,N/A,N/A,"Trivial sentinel/init",HIGH,FALSE,"IDENTITY-PLACEHOLDER initialization"
A8_BELIEFS_007,brain/beliefs.py,136,<expr-L>,1.0,expr-literal,D,"Inversion expression 1 - dim_val for invert-flagged source dim; encodes complement-of-unit-interval mathematical identity",NONE,N/A,N/A,"Trivial mathematical identity, unit-complement",HIGH,FALSE,"IDENTITY-PLACEHOLDER; complement on [0,1] interval"
A8_BELIEFS_008,brain/beliefs.py,139,np.clip.arg1,0.0,call-posarg1,D,"Lower clip bound on belief value (identity boundary of unit interval)",NONE,N/A,N/A,"Trivial identity boundary [0,1] of belief outputs",HIGH,FALSE,"IDENTITY-PLACEHOLDER; belief value lower bound"
A8_BELIEFS_009,brain/beliefs.py,139,np.clip.arg2,1.0,call-posarg2,D,"Upper clip bound on belief value (identity boundary of unit interval)",NONE,N/A,N/A,"Trivial identity boundary [0,1] of belief outputs",HIGH,FALSE,"IDENTITY-PLACEHOLDER; belief value upper bound"
A8_EXEC_001,brain/executor.py,35,_NUM_REGIONS,26,module-assign,C,"RAM cardinality — 26 anatomical regions in the auditory-cognitive partition",NONE,structural,N/A,"Topology constant; 12 cortical + 9 subcortical + 5 brainstem RAM partition per MI architecture",HIGH,FALSE,"STRUCTURAL; matches context_brief §1 (26-region RAM)"
A8_EXEC_002,brain/executor.py,36,_NUM_NEURO,4,module-assign,C,"Number of neurochemical channels — DA, NE, OPI, 5HT",NONE,structural,N/A,"Topology constant; 4-channel neurochem accumulator per MI architecture",HIGH,FALSE,"STRUCTURAL; matches context_brief NEUROCHEM_CHANNELS=4"
A8_EXEC_003,brain/executor.py,134,torch.clamp.min,0.0,call-kw,D,"ReLU lower bound on RAM accumulation (identity boundary; non-negative activation)",NONE,N/A,N/A,"Trivial identity boundary; ReLU floor at 0",HIGH,FALSE,"IDENTITY-PLACEHOLDER; ReLU semantic"
